Codice_Turno,Nome_Turno,Deposito,Giorno,Turno_Ora_Inizio,Turno_Ora_Fine,Corsa_Linea,Corsa_Da,Corsa_A,Corsa_Ora_Partenza,Corsa_Ora_Arrivo
,,Torino - Deposito,Giovedì,13:50,22:59,277,Airasca - stabilimento sk ....................1...4..:.3...0.... .P..e..r..o..s.a.. .A...r.g....-.P..z..z..a. .T..e..r..z.o... A...l,Pinerolo - Movicentro,20:40,21:12
,,Torino - Deposito,Giovedì,13:50,22:59,119,To - Corso Vercelli ..............................1...6..:..1..0.... .P..i.n..e..r..o..l.o.. .-. .M....o..v..i.c.e..n..t..r.o,PAUSA 16:40 - 18:03 Torino - Deposito,21:16,22:49
,,Torino - Deposito,Giovedì,13:50,22:59,282,TORINO - Autostazione c.s,Pinerolo - Movicentro,18:03,19:14
,,Torino - Deposito,Giovedì,13:50,22:59,282,Pinerolo - Movicentro,PAUSA 19:55 -,19:18,20:30
,,Torino - Deposito,Giovedì,04:50,13:00,aMalpensa,TORINO - Autostazione c.s,Malpensa ovest (term 1),05:30,10:00
,,Torino - Deposito,Giovedì,04:50,13:00,aMalpensa,Malpensa ovest (term 1),Torino - Deposito,10:00,12:50
,,Torino - Deposito,Giovedì,06:20,14:02,aMalpensa,TORINO - Autostazione c.s,Malpensa ovest (term 1),07:00,11:00
,,Torino - Deposito,Giovedì,06:20,14:02,aMalpensa,Malpensa ovest (term 1),Torino - Deposito,11:00,13:52
,,Torino - Deposito,Giovedì,07:20,15:02,aMalpensa,TORINO - Autostazione c.s,Malpensa ovest (term 1),08:00,12:00
,,Torino - Deposito,Giovedì,07:20,15:02,aMalpensa,Malpensa ovest (term 1),Torino - Deposito,12:00,14:52
,,Torino - Deposito,Giovedì,08:20,16:00,aMalpensa,TORINO - Autostazione c.s,Malpensa ovest (term 1),09:00,13:00
,,Torino - Deposito,Giovedì,08:20,16:00,aMalpensa,Malpensa ovest (term 1),Torino - Deposito,13:00,15:50
,,Torino - Deposito,Giovedì,06:29,18:00,aMalpensa,Torino - Deposito ................................0...6..:..4..4..... M....a..l.p..e..n..s..a.. o...v..e.s..t. .(..t.e..r.m.... 1...),Piobesi T.Se-V.Torino 41-Capol ..........0...7...:.1..4..... .T..O..R..I.N...O... .-. .A..u..t..o..s.t..a..z.i.o..n...e. .c....s,15:15,17:15
,,Torino - Deposito,Giovedì,06:29,18:00,267,Torino - P.Zza Caio Mario ...................0..7...:.5...5.... .T..o..r.i.n..o... -.. .D..e..p..o..s..i.t.o,TORINO - Autostazione c.so Bolzano,17:45,10:00
,,Torino - Deposito,Giovedì,06:29,18:00,aMalpensa,TORINO - Autostazione c.s,PAUSA 12:05 -,10:00,15:10
,,Torino - Deposito,Giovedì,11:40,20:10,aMalpensa,TORINO - Autostazione c.s,Malpensa ovest (term 1),13:00,17:30
,,Torino - Deposito,Giovedì,11:40,20:10,aMalpensa,Malpensa ovest (term 1),Torino - Deposito,17:30,20:00
,,Torino - Deposito,Giovedì,12:42,21:10,aMalpensa,TORINO - Autostazione c.s,Malpensa ovest (term 1),14:00,18:30
,,Torino - Deposito,Giovedì,12:42,21:10,aMalpensa,Malpensa ovest (term 1),Torino - Deposito,18:30,21:00
,,Torino - Deposito,Giovedì,13:42,22:10,aMalpensa,TORINO - Autostazione c.s,Malpensa ovest (term 1),15:00,19:30
,,Torino - Deposito,Giovedì,13:42,22:10,aMalpensa,Malpensa ovest (term 1),Torino - Deposito,19:30,22:00
,,Torino - Deposito,Giovedì,14:40,23:20,aMalpensa,TORINO - Autostazione c.s,Malpensa ovest (term 1),16:00,20:40
,,Torino - Deposito,Giovedì,14:40,23:20,aMalpensa,Malpensa ovest (term 1),Torino - Deposito,20:40,23:10
,,Torino - Deposito,Giovedì,04:05,11:34,268,To - piazza carlo felice,PAUSA 05:30 -,04:45,06:10
,,Torino - Deposito,Giovedì,04:05,11:34,268,Caselle Aeroporto,To - piazza carlo felice,06:10,06:55
,,Torino - Deposito,Giovedì,04:05,11:34,268,To - piazza carlo felice,Caselle Aeroporto,07:15,08:00
,,Torino - Deposito,Giovedì,04:05,11:34,268,Caselle Aeroporto,To - piazza carlo felice,08:15,09:00
,,Torino - Deposito,Giovedì,04:05,11:34,268,To - piazza carlo felice,Caselle Aeroporto,09:15,10:00
,,Torino - Deposito,Giovedì,04:05,11:34,268,Caselle Aeroporto,Caselle - Parcheggio P,10:15,11:24
,,Torino - Deposito,Giovedì,04:35,11:55,268,To - piazza carlo felice,Caselle Aeroporto,05:15,06:00
,,Torino - Deposito,Giovedì,04:35,11:55,268,Caselle Aeroporto,To - piazza carlo felice,06:30,07:15
,,Torino - Deposito,Giovedì,04:35,11:55,268,To - piazza carlo felice,Caselle Aeroporto,07:30,08:07
,,Torino - Deposito,Giovedì,04:35,11:55,268,Caselle Aeroporto,To - piazza carlo felice,08:30,09:15
,,Torino - Deposito,Giovedì,04:35,11:55,268,To - piazza carlo felice,Caselle Aeroporto,09:30,10:07
,,Torino - Deposito,Giovedì,04:35,11:55,268,Caselle Aeroporto,Torino - Deposito,10:30,11:45
,,Torino - Deposito,Giovedì,05:05,12:40,268,To - piazza carlo felice,Caselle Aeroporto,05:45,06:30
,,Torino - Deposito,Giovedì,05:05,12:40,268,Caselle Aeroporto,To - piazza carlo felice,07:00,07:45
,,Torino - Deposito,Giovedì,05:05,12:40,268,To - piazza carlo felice,Caselle Aeroporto,08:00,08:37
,,Torino - Deposito,Giovedì,05:05,12:40,268,Caselle Aeroporto,To - piazza carlo felice,09:00,09:45
,,Torino - Deposito,Giovedì,05:05,12:40,268,To - piazza carlo felice,Caselle Aeroporto,10:00,10:37
,,Torino - Deposito,Giovedì,05:05,12:40,268,Caselle Aeroporto,Torino - Deposito,11:00,12:30
,,Torino - Deposito,Giovedì,05:50,14:10,268,To - piazza carlo felice,Caselle Aeroporto,06:30,07:15
,,Torino - Deposito,Giovedì,05:50,14:10,268,Caselle Aeroporto,PAUSA 08:10 -,07:25,09:00
,,Torino - Deposito,Giovedì,05:50,14:10,268,To - piazza carlo felice,Caselle Aeroporto,09:00,09:37
,,Torino - Deposito,Giovedì,05:50,14:10,268,Caselle Aeroporto,PAUSA 10:45 -,10:00,11:30
,,Torino - Deposito,Giovedì,05:50,14:10,268,To - piazza carlo felice,Caselle Aeroporto,11:30,12:07
,,Torino - Deposito,Giovedì,05:50,14:10,268,Caselle Aeroporto,To - piazza carlo felice,12:30,13:15
,,Torino - Deposito,Giovedì,06:05,14:34,268,To - piazza carlo felice,Caselle Aeroporto,12:15,13:00
