Corsa,Codice corsa,Codice linea,Partenza,Ora partenza,Arrivo,Ora arrivo,Flag spezzata,Turno
28310,229F,281,VILLARETTO,16:55:00,PEROSA ARG.-Pzza Terzo Alpini,17:07:00,FALSE,Pi0210
28563,231DA,282,PEROSA ARG.-Pzza Terzo Alpini,17:10:00,PINEROLO - movicentro,17:42:00,FALSE,Pi0210
28124,RPN31,901,PINEROLO - movicentro,17:50:00,TORRE PELLICE,18:25:00,FALSE,Pi0210
28141,RPN16,901,TORRE PELLICE,18:35:00,PINEROLO - movicentro,19:10:00,FALSE,Pi0210
28295,105,701,MACELLO - Municipio,15:20:00,S.Pietro Val Lemina - via Europa fr 61,15:50:00,FALSE,Pi0230
29560,116,701,S.Pietro Val Lemina - via Europa 61,15:50:00,MACELLO - Municipio,16:30:00,FALSE,Pi0230
28351,107S,701,MACELLO - Municipio,16:40:00,S.Pietro Val Lemina - via Europa fr 61,17:18:00,FALSE,Pi0230
29561,118,701,S.Pietro Val Lemina - via Europa 61,17:18:00,MACELLO - Municipio,17:58:00,FALSE,Pi0230
28293,3,701,MACELLO - Municipio,18:00:00,S.Pietro Val Lemina - via Europa fr 61,18:30:00,FALSE,Pi0230
29558,12,701,S.Pietro Val Lemina - via Europa 61,18:30:00,MACELLO - Municipio,19:10:00,FALSE,Pi0230
28304,6,701,MACELLO - Municipio,19:20:00,PINEROLO - movicentro,19:40:00,FALSE,Pi0230
29707,RP333,901,PINEROLO - movicentro,21:50:00,TORRE PELLICE,22:20:00,FALSE,Pi0230
29708,RP333R,901,TORRE PELLICE,22:20:00,PINEROLO - movicentro,22:50:00,FALSE,Pi0230
29693,124B,281,PINEROLO Centro Studi,13:30:00,PEROSA ARG.-Pzza Terzo Alpini,14:00:00,FALSE,Pi0250
28616,193B,281,PEROSA ARG.-Pzza Terzo Alpini,14:20:00,PINEROLO - stazione FS,14:50:00,FALSE,Pi0250
28126,RPN29,901,PINEROLO - movicentro,14:50:00,TORRE PELLICE,15:25:00,FALSE,Pi0250
28142,22027,901,TORRE PELLICE,17:35:00,PINEROLO - movicentro,18:10:00,FALSE,Pi0250
28125,RP307,901,PINEROLO - movicentro,18:20:00,TORRE PELLICE,18:55:00,FALSE,Pi0250
28385,21051,279,TORRE PELLICE,19:05:00,BOBBIO PELLICE,19:19:00,FALSE,Pi0250
28140,RP331,901,TORRE PELLICE,19:35:00,PINEROLO - movicentro,20:10:00,FALSE,Pi0250
28807,22029,284,PINEROLO - Piazza Cavour,21:25:00,None Via Pinerolo,21:58:00,FALSE,Pi0250
28805,22104,284,None Via Pinerolo,22:25:00,SEGGIOVIA VANDALINO,23:22:00,FALSE,Pi0250
28760,034D,275,Pinerolo Bivio Sede SAPAV,7:00:00,Villar Perosa - Stabilimento TEKFOR A,7:24:00,FALSE,Pi0260
29689,099A,281,PEROSA ARG.-Pzza Terzo Alpini,7:35:00,Pinerolo Centro Studi (C.Torino/Rochis),8:10:00,FALSE,Pi0260
28768,1317A,278,PINEROLO - Via Saluzzo (ENEL),13:25:00,SCA - FR Pieve Via Savigliani,14:08:00,FALSE,Pi0260
28148,22094,284,AIRASCA - stabilimento SKF,14:30:00,SEGGIOVIA VANDALINO,15:15:00,FALSE,Pi0260
28155,22024B,284,TORRE PELLICE,16:10:00,PINEROLO - movicentro,16:40:00,FALSE,Pi0260
28458,213,281,PINEROLO - Stazione FS (Via Brignone),16:45:00,Volvera-str Piossasco,17:15:00,FALSE,Pi0260
28068,22101,284,AIRASCA - stabilimento SKF,17:30:00,SEGGIOVIA VANDALINO,18:16:00,FALSE,Pi0260
29681,2226,281,VIRLE PIEMONTE - via Carignano,6:55:00,PINEROLO - Ist. Immacolata,7:40:00,FALSE,Pi0280
28405,5,278,PINEROLO - Ist. Immacolata,7:40:00,PINEROLO - Fronte Stazione FS,7:45:00,FALSE,Pi0280
29150,1,700,Pinerolo - Via Novarea,7:55:00,Pinerolo Centro Studi (C.Torino/Rochis),8:10:00,FALSE,Pi0280
28329,11,703,Pinerolo Frazione Riva (Domarossa),13:20:00,PIN - Fiugera,13:50:00,FALSE,Pi0280
28336,12,703,PIN - Fiugera,14:00:00,Pinerolo Frazione Riva (Domarossa),14:30:00,FALSE,Pi0280
28332,13,703,Pinerolo Frazione Riva (Domarossa),14:30:00,PIN - Fiugera,14:57:00,FALSE,Pi0280
29155,14,703,PIN - Fiugera,15:00:00,Pinerolo Frazione Riva (Domarossa),15:30:00,FALSE,Pi0280
28333,15,703,Pinerolo Frazione Riva (Domarossa),15:30:00,PIN - Fiugera,15:57:00,FALSE,Pi0280
28551,022A,275,PINEROLO - movicentro,5:48:00,PEROSA ARG.-Pzza Terzo Alpini,6:20:00,FALSE,Pi0290
28859,37A,275,PEROSA ARG.-Pzza Terzo Alpini,6:20:00,PIN - Via Giustetto-Via Polliotti,6:43:00,FALSE,Pi0290
28863,37B,275,PIN - Via Giustetto-Via Polliotti,6:45:00,TORINO - Autostazione c.so Bolzano,7:48:00,FALSE,Pi0290
28668,106A,275,TORINO - Autostazione c.so Bolzano,10:41:00,PINEROLO - movicentro,11:44:00,FALSE,Pi0290
28554,106B,275,PINEROLO - movicentro,11:48:00,PER - V. Nazionale 6 (Deposito Ex Sapav),12:19:00,TRUE,Pi0290
29804,22036,284,PEROSA ARG.-Pzza Terzo Alpini,13:15:00,AIRASCA - stabilimento SKF,13:55:00,FALSE,Pi0290
29677,31,281,PINEROLO - stazione FS,6:20:00,GERBOLE DI VOLVERA,6:50:00,FALSE,Pi0300
29682,48,281,GERBOLE DI VOLVERA,6:55:00,PINEROLO - Ist. Immacolata,7:35:00,FALSE,Pi0300
